,mixed,background,foreground,count
"(0, 0, 0, 232, 224, 232)",[255 255 255],[235 228 231],[275. 282. 279.],2
"(216, 224, 224, 240, 248, 240)",[218 223 221],[242 252 240],[706. 706. 714.],1
"(240, 248, 240, 240, 240, 240)",[242 252 240],[237 242 240],[247. 262. 240.],1
"(248, 248, 248, 240, 240, 232)",[251 251 251],[239 240 236],[263. 262. 266.],3
"(0, 248, 248, 0, 248, 0)",[253 249 248],[254 250 255],[764. 760. 753.],2
"(224, 224, 232, 0, 0, 0)",[225 226 230],[255 255 255],[707. 709. 717.],1
"(248, 248, 248, 0, 248, 0)",[249 249 249],[255 252 253],[755. 758. 757.],3
"(240, 248, 248, 0, 0, 0)",[243 248 249],[255 255 255],[743. 753. 755.],4
"(248, 248, 248, 240, 248, 248)",[249 249 249],[243 248 249],[255. 250. 249.],4
"(232, 240, 240, 232, 232, 232)",[236 238 239],[231 231 231],[241. 245. 247.],1
"(248, 248, 0, 232, 232, 232)",[250 252 253],[231 231 231],[269. 273. 275.],1
"(248, 248, 248, 224, 232, 232)",[252 252 252],[227 229 230],[277. 275. 274.],1
"(216, 224, 224, 240, 240, 240)",[218 223 221],[242 242 242],[706. 716. 712.],2
"(232, 232, 240, 224, 232, 232)",[236 235 237],[228 229 233],[244. 241. 241.],1
"(248, 248, 248, 232, 232, 240)",[252 250 249],[236 235 237],[268. 265. 261.],2
"(248, 248, 248, 0, 248, 248)",[249 249 249],[255 250 251],[755. 760. 759.],2
"(0, 0, 0, 232, 232, 224)",[255 255 255],[231 232 223],[279. 278. 287.],2
"(240, 248, 248, 248, 248, 248)",[243 248 249],[251 251 251],[747. 757. 759.],2
"(240, 240, 240, 240, 248, 248)",[239 239 239],[243 248 249],[747. 742. 741.],2
"(216, 224, 224, 0, 0, 248)",[218 223 221],[253 255 251],[695. 703. 703.],1
"(240, 240, 240, 216, 224, 224)",[237 237 237],[218 223 221],[256. 251. 253.],1
"(224, 232, 224, 240, 240, 240)",[228 229 227],[240 240 240],[728. 730. 726.],1
"(248, 248, 248, 224, 224, 232)",[251 251 251],[228 227 229],[274. 275. 273.],1
"(240, 248, 248, 240, 240, 240)",[243 248 249],[240 239 241],[246. 257. 257.],1
"(224, 224, 232, 240, 248, 248)",[227 226 230],[243 248 249],[723. 716. 723.],2
"(0, 0, 0, 240, 248, 248)",[255 255 255],[243 248 247],[267. 262. 263.],1
"(224, 216, 224, 240, 248, 248)",[224 218 223],[243 248 249],[717. 700. 709.],1
"(232, 224, 240, 240, 248, 248)",[230 226 238],[243 248 249],[729. 716. 739.],1
"(0, 0, 0, 232, 240, 240)",[255 255 255],[233 240 237],[277. 270. 273.],2
"(0, 0, 0, 240, 240, 232)",[255 255 255],[238 237 233],[272. 273. 277.],3
"(0, 0, 0, 240, 240, 248)",[255 255 255],[243 238 247],[267. 272. 263.],5
"(248, 0, 0, 240, 248, 248)",[248 255 255],[243 248 249],[253. 262. 261.],1
"(0, 0, 0, 224, 232, 232)",[255 255 255],[228 233 231],[282. 277. 279.],1
"(0, 0, 0, 232, 224, 224)",[255 255 255],[232 227 228],[278. 283. 282.],1
"(0, 0, 0, 240, 232, 232)",[255 255 255],[238 236 235],[272. 274. 275.],1
"(232, 224, 232, 0, 0, 0)",[233 228 229],[255 255 255],[723. 713. 715.],1
"(0, 0, 0, 248, 240, 248)",[255 255 255],[245 244 246],[265. 266. 264.],4
